DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
2136582.45,193,43.072029,-89.409137,10879,84.67,0,Randall fs Engineering,336,92.08,0,427.32,0,0,0,"[-89.40913096502784, 43.07202105875524]"
39462.22,194,43.073035,-89.400517,10880,9.49,0,NB Park ns University,341,9.67,0,7.89,0,0,0,"[-89.40051096648908, 43.07302705764658]"
72604.04,364,43.053984,-89.387278,10881,1.0,0,WB Olin fs Lake,346,2.02,0,14.52,0,0,0,"[-89.38727197290747, 43.05397606007138]"
356207.97,62,43.068021,-89.413801,10882,13.56,0,NB Breese fs Regent,349,9.33,0,71.24,0,0,0,"[-89.41379496410491, 43.06801305964994]"
45276.84,638,43.03858,-89.40307,10883,1.34,0,EB Badger fs Fish Hatchery,353,2.0,0,9.06,0,0,0,"[-89.40306396989911, 43.03857206379284]"
23888.89,365,43.053791,-89.390205,10884,0.0,0,Gilson ns Olin,357,0.0,0,4.78,0,0,0,"[-89.39019897201838, 43.053783060090396]"
11222.92,366,43.054636,-89.397156,10885,1.0,0,SB Park ns Olin,360,0.0,0,2.24,0,0,0,"[-89.39714996965772, 43.05462806030123]"
10130.8,364,43.053792,-89.387208,10886,1.0,0,EB Olin fs Lake,367,1.01,0,2.03,0,0,0,"[-89.38720197280172, 43.05378406050839]"
391494.17,700,43.063319,-89.404039,10887,17.75,0,NB Mills fs Vilas,375,14.0,0,78.3,0,0,0,"[-89.40403296693826, 43.063311059886345]"
556.34,660,43.05175,-89.377979,10888,0.0,0,John Nolen fs Olin,379,0.0,0,0.11,0,0,0,"[-89.37797297524702, 43.0517420603004]"
82388.47,405,43.069443,-89.401047,10889,11.36,0,SB Park ns Spring,388,6.71,0,16.48,0,0,0,"[-89.40104096756721, 43.06943505827903]"
140527.97,335,43.044443,-89.403831,10890,11.39,0,NB Fish Hatchery ns Carver,391,5.33,0,28.11,0,0,0,"[-89.40382496909722, 43.04443506290235]"
81829.12,407,43.069713,-89.404121,10891,7.7,0,SB Mills ns Spring,392,4.0,0,16.37,0,0,0,"[-89.40411496629189, 43.06970505886081]"
140214.81,207,43.067875,-89.40928,10892,40.29,0,WB Regent fs Randall,398,17.06,0,28.04,0,0,0,"[-89.40927396432991, 43.06786705917618]"
99267.95,327,43.041796,-89.403858,10893,4.02,0,NB Fish Hatchery fs Catalpa,405,6.67,0,19.85,0,0,0,"[-89.40385196889416, 43.04178806306023]"
94630.45,62,43.0679,-89.414323,10894,10.67,0,WB Regent fs Breese,406,6.37,0,18.93,0,0,0,"[-89.41431696315827, 43.06789205908162]"
11251.25,102,43.042922,-89.377438,10895,1.0,0,SB Rimrock ns Rusk,410,1.01,0,2.25,0,0,0,"[-89.37743197640091, 43.042914061194054]"
188502.88,720,43.06902,-89.392346,10896,9.33,0,WB Washington ns Bedford,418,10.0,0,37.7,0,0,0,"[-89.39233997010501, 43.069012057731626]"
13507.73,663,43.053132,-89.383808,10897,2.0,0,WB Olin ns Colby,424,0.0,0,2.7,0,0,0,"[-89.38380197370806, 43.05312406029444]"
18888.89,348,43.049652,-89.392632,10898,0.0,0,NB Beld ns Gilson,433,0.0,0,3.78,0,0,0,"[-89.39262597164458, 43.04964406101163]"
1001501.95,735,43.072017,-89.397174,10899,55.09,0,EB Johnson fs Lake,435,50.57,0,200.3,0,0,0,"[-89.39716796829285, 43.072009057731776]"
3331291.37,190,43.075047,-89.406479,10900,15.67,0,EB Linden ns Charter,438,8.01,0,666.26,0,0,0,"[-89.4064729646492, 43.07503905780002]"
151718.05,417,43.071895,-89.404041,10901,11.39,0,NB Mills ns Johnson,441,10.67,0,30.34,0,0,0,"[-89.40403496630873, 43.071887058036104]"
129103.24,407,43.069877,-89.404025,10902,11.39,0,NB Mills fs Spring,445,14.0,0,25.82,0,0,0,"[-89.40401896661143, 43.069869058641515]"
28988.02,409,43.070449,-89.414017,10903,0.0,0,SB Breese ns Hoyt,454,0.0,0,5.8,0,0,0,"[-89.41401096304587, 43.07044105900289]"
