Corridor,LPA,MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
W,1.0,2714.0,Relo to far side,316,main,"[-89.44424766539926, 43.07538054702794]",51003.0,43.07538055,-89.44424767,WB UNIV AVE fs SHOREWOOD 
W,1.0,2200.0,,317,main,"[-89.4516190615537, 43.075487193188096]",51004.0,43.07548719,-89.45161906,WB UNIV AVE fs MIDVALE 
W,1.0,2184.0,,318,main,"[-89.45733436142594, 43.07305566650317]",51005.0,43.07305567,-89.45733436,WB SHEBOYGAN fs SEGOE 
W,1.0,2282.0,Bulb,319,main,"[-89.46370567742697, 43.07307677960746]",51006.0,43.07307678,-89.46370568,WB SHEBOYGAN ns EAU CLAIRE 
W,,,"Configuration of WTP to be determined, for Min Pt alignment only",320,alt,"[-89.47275412169886, 43.06101700419651]",53008.0,43.06101701,-89.47275412,WEST TRANSFER POINT (RELOCATED)
W,1.0,,,321,alt,"[-89.47881455279511, 43.06097756995083]",53009.0,43.06097757,-89.47881455,WB MINERAL PT fs ROSA 
W,1.0,,,322,alt,"[-89.49233594036878, 43.06093233771367]",53010.0,43.06093234,-89.49233594,WB MINERAL PT fs YELLOWSTONE 
W,1.0,2670.0,Only Odana would stop here,323,alt,"[-89.47226340706696, 43.060543713431834]",55008.0,43.06054371,-89.47226341,SB WHITNEY fs MINERAL PT 
W,1.0,6100.0,Configuration of WTP to be determined,324,alt,"[-89.4742279665944, 43.05384838848262]",55009.0,43.05384839,-89.47422797,WB WTP
W,,6188.0,,325,alt,"[-89.4864236887099, 43.05370556241022]",55010.0,43.05370556,-89.48642369,WB ODANA fs RESEARCH PK 
W,,6382.0,,326,alt,"[-89.49669725563811, 43.0567149229385]",55011.0,43.05671492,-89.49669726,WB ODANA fs GRND CANYON 
W,,,New stop,327,alt,"[-89.50372861553112, 43.05749958572411]",55012.0,43.05749959,-89.50372862,NB W TOWNE RNG at BANK
W,1.0,6426.0,For Odana only,328,alt,"[-89.50829645243361, 43.06078087175193]",55013.0,43.06078087,-89.50829645,WB MINERAL PT fs WESTFIELD 
W,1.0,6166.0,,329,main,"[-89.51785993362876, 43.060673066667064]",51014.0,43.06067307,-89.51785993,WB MINERAL PT fs HIGH PT 
W,1.0,,,330,main,"[-89.51693093397915, 43.06038506581037]",52014.0,43.06038507,-89.51693093,EB MINERAL PT fs HIGHT PT
W,1.0,6755.0,Mineral Point route only,331,alt,"[-89.50726535219535, 43.06049688098773]",54011.0,43.06049688,-89.50726535,EB MINERAL PT fs WESTFIELD
W,1.0,,,332,alt,"[-89.49156057439207, 43.0606459827572]",54010.0,43.06064598,-89.49156057,EB MINERAL PT fs YELLOWSTONE 
W,,,,333,alt,"[-89.47803050473566, 43.06069982895506]",54009.0,43.06069983,-89.4780305,EB MINERAL PT fs ROSA 
